author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;house_number;underground;residential_complex
Optima Development;developer;https://www.cian.ru/sale/flat/293991050/;Москва;sale;flat;18;41;4;108.4;653461;70835210;Хорошевский;Ленинградский проспект;37/2;Петровский Парк;Прайм Парк
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294203325/;Москва;sale;flat;17;21;5;184.0;1076086;198000000;Пресненский;2-я Звенигородская ;12С19;Улица 1905 года;Lucky
А101;developer;https://www.cian.ru/sale/flat/288822306/;Москва;sale;flat;16;16;4;167.1;454131;75885433;Сокол; Зорге;;Зорге;Дом на Зорге
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294452587/;Москва;sale;flat;3;13;3;118.75;1010526;120000000;Пресненский;2-я Звенигородская ;12С19;Улица 1905 года;Lucky
Сбербанк Капитал;developer;https://www.cian.ru/sale/flat/288177343/;Москва;sale;flat;2;7;2;123.5;948094;117089718;Якиманка;Софийская набережная;34С2;;Царев сад
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/294051481/;Москва;sale;flat;6;8;3;142.8;1610644;230000000;Якиманка;Софийская набережная;34;Третьяковская;Софийский
А101;developer;https://www.cian.ru/sale/flat/289992271/;Москва;sale;flat;6;16;4;78.9;199027;15703280;;;;Коммунарка;Дзен-кварталы ЖК
МГСН;real_estate_agent;https://www.cian.ru/sale/flat/287150530/;Москва;sale;flat;2;8;3;84.0;529761;44500000;Замоскворечье; Малая Ордынка;36;Добрынинская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/293804265/;Москва;sale;flat;10;24;4;95.1;387000;36803700;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/283112259/;Москва;sale;flat;2;4;-1;245.4;937245;230000000;Крылатское;Островной проезд;10к2;Молодёжная;Остров Фантазий
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293712305/;Москва;sale;flat;5;21;3;82.05;455819;37400000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
UINVEST;real_estate_agent;https://www.cian.ru/sale/flat/294626943/;Москва;sale;flat;21;26;3;84.5;377514;31900000;Лефортово; Золоторожский Вал;вл10с1;;Символ
Мангазея;developer;https://www.cian.ru/sale/flat/293671388/;Москва;sale;flat;-1;-1;-1;202.0;187485;37872000;Щукино;Щукинская ;3;Стрешнево;Интонация
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/291342956/;Москва;sale;flat;6;6;4;169.0;532544;90000000;Пресненский;Мерзляковский переулок;13;Арбатская;
Ривер Парк Коломенское;developer;https://www.cian.ru/sale/flat/291650455/;Москва;sale;flat;6;19;4;98.0;410151;40194798;Нагатинский затон;;;Коломенская;Ривер Парк ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/290934858/;Москва;sale;flat;25;39;3;74.5;456375;34000000;Ростокино; Вильгельма Пика;;Ботанический сад;Режиссер
Ташир;developer;https://www.cian.ru/sale/flat/293181492/;Москва;sale;flat;16;17;3;85.7;553300;47417810;Раменки;;;;Легаси ЖК
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/291588175/;Москва;sale;flat;7;21;3;87.0;1126436;98000000;Пресненский;2-я Звенигородская ;12С19;Улица 1905 года;Lucky
А101;developer;https://www.cian.ru/sale/flat/295067063/;Москва;sale;flat;2;9;4;78.5;150300;11798550;;;;Толстопальцево;Родные кварталы
ID 101529643;homeowner;https://www.cian.ru/sale/flat/295209111/;Москва;sale;flat;3;9;1;43.0;323255;13900000;Марьино;Донецкая ;30к1;Курьяново;Домашний
А101;developer;https://www.cian.ru/sale/flat/274078519/;Москва;sale;flat;15;30;4;80.8;215999;17452744;Южное Бутово;к2.4;к2.4;Бунинская аллея;Южные Сады ЖК
ID 12885667;realtor;https://www.cian.ru/sale/flat/295222399/;Москва;sale;flat;4;8;2;59.5;344369;20490000;Тимирязевский;Дмитровское шоссе;46К1;Окружная;
А101;developer;https://www.cian.ru/sale/flat/292015941/;Москва;sale;flat;2;9;4;106.5;180958;19272115;;;к2.4;Бунинская аллея;Бунинские Кварталы ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/281590820/;Москва;sale;flat;3;14;4;200.0;2150000;430000000;Хамовники; Усачева;11Г;Фрунзенская;Садовые кварталы
ID 39404589;developer;https://www.cian.ru/sale/flat/295079376/;Москва;sale;flat;14;42;3;63.4;517200;32790480;Котловка;;к2;Крымская;Энитео ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/289521688/;Москва;sale;flat;28;53;4;120.5;431535;52000000;Пресненский;Шмитовский проезд;39к8;Шелепиха;Headliner
Основа;developer;https://www.cian.ru/sale/flat/286250422/;Москва;sale;flat;-1;-1;-1;202.0;256227;51758000;Красносельский;проспект Академика Сахарова;11;Красные ворота;RED7
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295054861/;Москва;sale;flat;10;35;-1;117.0;371709;43490000;Пресненский;Шмитовский проезд;39к8;Шелепиха;Headliner
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/293713230/;Москва;sale;flat;9;13;3;95.8;555010;53170000;Раменки;;к8;Минская;Вест Гарден ЖК
ID 76242457;unknown;https://www.cian.ru/sale/flat/284936536/;Москва;sale;flat;8;12;-1;77.3;528809;40877000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Минские холмы;developer;https://www.cian.ru/sale/flat/287022651/;Москва;sale;flat;49;56;4;140.4;384371;53965789;Раменки;;;Минская;Вилл Тауэрс ЖК
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/295193494/;Москва;sale;flat;16;27;3;65.1;613671;39950000;Хорошевский; Зорге;9к2;Зорге;Рихард
MR Group;developer;https://www.cian.ru/sale/flat/259334859/;Москва;sale;flat;32;41;3;125.5;432959;54336367;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/293619370/;Москва;sale;flat;1;9;-1;529.8;2186878;1158608100;Хамовники; Ефремова;19к1;Спортивная;Knightsbridge Private Park
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/295109978/;Москва;sale;flat;18;20;5;170.1;429700;73091970;Раменки;Кинематографический кв-л;;Аминьевская;Событие ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/292309062/;Москва;sale;flat;13;37;3;66.3;752639;49900000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Capital Group;developer;https://www.cian.ru/sale/flat/283760084/;Москва;sale;flat;17;18;2;59.6;1288812;76813247;Дорогомилово;;;Киевская;Бадаевский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/291877726/;Москва;sale;flat;13;41;3;91.0;604395;55000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
А101;developer;https://www.cian.ru/sale/flat/292131360/;Москва;sale;flat;6;15;4;78.1;172115;13442182;;;;Коммунарка;Деснаречье ЖК
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/288906560/;Москва;sale;flat;15;22;4;226.2;485853;109900000;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
А101;developer;https://www.cian.ru/sale/flat/284397382/;Москва;sale;flat;10;15;4;102.6;248597;25506095;;бульвар Севильский;3;Филатов Луг;Испанские кварталы
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/292629147/;Москва;sale;flat;23;23;5;212.2;428840;91000000;Можайский;Гжатская ;5к6;Давыдково;LIFE-Кутузовский
Forma;developer;https://www.cian.ru/sale/flat/294954689/;Москва;sale;flat;14;20;3;69.6;445300;30992880;Аэропорт;Часовая ;28к8;Красный Балтиец;SOUL
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/293809440/;Москва;sale;flat;7;41;4;132.9;590669;78500000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
КРОСТ;developer;https://www.cian.ru/sale/flat/290261203/;Москва;sale;flat;2;21;4;110.1;305550;33641055;Хорошево-Мневники; Народного Ополчения;13;Народное Ополчение;Wellton Gold
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/294672502/;Москва;sale;flat;5;12;4;190.0;1157894;220000000;Дорогомилово;Кутузовский проспект;11;Киевская;
MR Group;developer;https://www.cian.ru/sale/flat/272090925/;Москва;sale;flat;34;43;3;100.6;394760;39712856;Западное Дегунино;Ильменский проезд;14к1;Селигерская;Селигер Сити
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/289210569/;Москва;sale;flat;9;17;3;95.8;417536;40000000;Даниловский;набережная Марка Шагала;;Нагатинская;Shagal
ЛСР;developer;https://www.cian.ru/sale/flat/293204000/;Москва;sale;flat;3;16;4;101.8;475728;48429195;Даниловский; Архитектора Щусева;4к2;ЗИЛ;ЗИЛАРТ
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/294646337/;Москва;sale;flat;5;11;3;142.0;1816901;258000000;Хамовники;Погодинская ;4;Фрунзенская;GRAND DELUXE на Плющихе
БСА;representative_developer;https://www.cian.ru/sale/flat/293376084/;Москва;sale;flat;12;35;4;117.24;436850;51216400;Пресненский;Шмитовский проезд;39к8;Шелепиха;Headliner
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/295013998/;Москва;sale;flat;4;5;-1;380.0;1315789;500000000;Хамовники; Усачева;11К;Спортивная;Садовые кварталы
Основа;developer;https://www.cian.ru/sale/flat/287742387/;Москва;sale;flat;20;20;5;227.3;258700;58802510;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/294032270/;Москва;sale;flat;16;23;4;121.5;739917;89900000;Фили-Давыдково;Давыдковская ;16;Славянский бульвар;
Основа;developer;https://www.cian.ru/sale/flat/292153764/;Москва;sale;flat;-1;-1;-1;202.0;85492;17269500;Хорошево-Мневники;2-й Силикатный проезд;14к5с2;Полежаевская;Emotion
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/291065393/;Москва;sale;flat;6;14;4;133.1;1164537;155000000;Хамовники; Усачева;11Е;Спортивная;Садовые кварталы
ID 39404589;developer;https://www.cian.ru/sale/flat/295120218/;Москва;sale;flat;2;33;3;76.0;415800;31600800;Даниловский;;;Павелецкая;Era
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/289514740/;Москва;sale;flat;2;5;4;128.0;2283125;292240000;Хамовники;Пречистенская набережная;43;Кропоткинская;Carré Blanc
ФСК;developer;https://www.cian.ru/sale/flat/289464420/;Москва;sale;flat;-1;-1;-1;202.0;366232;73978920;Хорошево-Мневники; Шеногина;;Хорошёво;Sydney Prime
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/292803069/;Москва;sale;flat;9;9;-1;514.0;1721789;885000000;Раменки;Мосфильмовская ;1Б;Ломоносовский проспект;Вишневый сад
VESPER;developer;https://www.cian.ru/sale/flat/295152831/;Москва;sale;flat;2;15;2;99.0;1100000;108900000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/292754562/;Москва;sale;flat;8;14;5;127.1;589299;74900000;Раменки;;к10;Минская;Вест Гарден ЖК
MR Group;developer;https://www.cian.ru/sale/flat/288221940/;Москва;sale;flat;18;49;2;65.53;403118;26416347;Савеловский;;;Дмитровская;Симфония 34 ЖК
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/292062412/;Москва;sale;flat;16;56;4;111.2;512589;57000000;Хорошево-Мневники; Народного Ополчения;15К1;Мнёвники;Wellton Towers
Балтийская Строительная Компания;developer;https://www.cian.ru/sale/flat/295006835/;Москва;sale;flat;13;13;1;46.9;676500;31727850;Арбат; Новый Арбат;;Смоленская;Звёзды Арбата
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/292942150/;Москва;sale;flat;5;5;2;68.1;580029;39500000;Замоскворечье;4-й Монетчиковский переулок;1/6С1;Павелецкая;
MR Group;developer;https://www.cian.ru/sale/flat/291877976/;Москва;sale;flat;8;9;2;63.38;520000;32957600;Марьина роща;;;Марьина Роща;Мод ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/293725128/;Москва;sale;flat;2;7;-1;416.2;1922152;800000000;Пресненский;Малая Никитская ;15;Маяковская;Малая Никитская, 15
Regions Development;developer;https://www.cian.ru/sale/flat/295118637/;Москва;sale;flat;10;23;3;100.8;443284;44683073;Нагатинский затон;;;Технопарк;Дрим Тауэрс ЖК
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294882102/;Москва;sale;flat;9;29;4;79.5;528301;42000000;Лефортово; Крузенштерна;10к1;Авиамоторная;Символ
ID 39404589;developer;https://www.cian.ru/sale/flat/294382032/;Москва;sale;flat;4;34;3;59.5;338800;20158600;Нагорный;Электролитный проезд;12Б;Нагорная;Twelve
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/278751260/;Москва;sale;flat;6;16;3;158.0;1259493;199000000;Якиманка; Большая Якиманка;22К3;Полянка;Коперник
MR Group;developer;https://www.cian.ru/sale/flat/288824446/;Москва;sale;flat;-1;-1;-1;202.0;125921;25436116;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/292664638/;Москва;sale;flat;7;17;3;75.7;528401;40000000;Беговой;Ленинградский проспект;29к1;Петровский Парк;Царская площадь
